network_id,dex_id,network_name,dex_name,factory,router
1,1,ethereum,uniswap,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f
1,2,ethereum,sushiswap,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F,0xC0AEe478e3658e2610c5F7A4A2E1777cE9e4f2Ac
1,3,ethereum,balancer,-,-
1,4,ethereum,shibaswap,0x115934131916C8b277DD010Ee02de363c09d037c,0x03f7724180AA6b939894B5Ca4314783B0b36b329
1,5,ethereum,defiswap,0x9deb29c9a4c7a88a3c0257393b7f3335338d9a9d,-
1,6,ethereum,stepn,0x1e895bfe59e3a5103e8b7da3897d1f2391476f3c,0x53e0e51b5ed9202110d7ecd637a4581db8b9879f
1,7,ethereum,safemoonswap,0x9Cf2f35E3656D4C68474525d67D9459Da3A000CD,0x1fdD76e18dD21046b7e7D54C8254Bf08B239e4D9
1,8,ethereum,swapr,0xd34971bab6e5e356fd250715f5de0492bb070452,0xb9960d9bca016e9748be75dd52f02188b9d0829f
1,9,ethereum,templedao,-,-
1,10,ethereum,radioshack,0x91fAe1bc94A9793708fbc66aDcb59087C46dEe10,0x3e445e3280C5747a188DB8d0aB7762838A50E4ff
2,72,bsc,pancakeswap,0xcA143Ce32Fe78f1f7019d7d551a6402fC5350c73,0x10ED43C718714eb63d5aA57B78B54704E256024E
2,73,bsc,apeswap,0x0841BD0B734E4F5853f0dD8d7Ea041c241fb0Da6,0xcF0feBd3f17CEf5b47b0cD257aCf6025c5BFf3b7
2,74,bsc,biswap,0x858E3312ed3A876947EA49d572A7C42DE08af7EE,0x3a6d8cA21D1CF76F653A67577FA0D27453350dD8
2,75,bsc,mdex,0x3CD1C46068dAEa5Ebb0d3f55F6915B10648062B8,0x0384E9ad329396C3A6A401243Ca71633B2bC4333
2,76,bsc,babyswap,0x86407bea2078ea5f5eb5a52b2caa963bc1f889da,0x325e343f1de602396e256b67efd1f61c3a6b38bd
2,77,bsc,fstswap,0x9A272d734c5a0d7d84E0a892e891a553e8066dce,0x1B6C9c20693afDE803B27F8782156c0f892ABC2d
2,78,bsc,safemoonswap,0x26023843814cff92b8d75311d64d1c032b8b29f2,0xcf7d4b75b7bccdb8b4f992fe05970680e2ee1a02
2,79,bsc,nomiswap,0xd6715A8be3944ec72738F0BFDC739d48C3c29349,0xD654953D746f0b114d1F85332Dc43446ac79413d
2,80,bsc,pandora,0xFf9A4E72405Df3ca3D909523229677e6B2b8dC71,0xC2426F2018f13Fdc5b260Bd0A88be753ee7FaFc5
2,81,bsc,knightswap,0xf0bc2E21a76513aa7CC2730C7A1D6deE0790751f,0x05E61E0cDcD2170a76F9568a110CEe3AFdD6c46f
2,82,bsc,coneexchange,0x0EFc2D2D054383462F2cD72eA2526Ef7687E1016,0xbf1fc29668e5f5Eaa819948599c9Ac1B1E03E75F
2,83,bsc,bakeryswap,0x01bF7C66c6BD861915CdaaE475042d3c4BaE16A7,0xcde540d7eafe93ac5fe6233bee57e1270d3e330f
2,84,bsc,w3swap,0xD04A80baeeF12fD7b1D1ee6b1f8ad354f81bc4d7,0xF29acE1FE5f36389d0dDe450a0195A30c3770245
2,85,bsc,planetfinance,0xa053582601214FEb3778031a002135cbBB7DBa18,0x9F088377BcdC220CB0E1Ad15aE6Bc75074beE9F6
2,86,bsc,swych,0x80f112CD8Ac529d6993090A0c9a04E01d495BfBf,0x2Bf55D1596786F1AE8160e997D655DbE6d9Bca7A
2,87,bsc,baryonswap,0x2e0BE10d0207DB3132E583c9332b153F861f21a1,0x3f8aadD297E60Ebe7c1bB8d3f6D413b9f39EFB8B
2,88,bsc,jswap,0xd654CbF99F2907F06c88399AE123606121247D5C,0x069A306A638ac9d3a68a6BD8BE898774C073DCb3
2,89,bsc,orbitalswap,0x1A04Afe9778f95829017741bF46C9524B91433fB,0x6B45064F128cA5ADdbf79825186F4e3e3c9E7EB5
2,90,bsc,marsecosystem,0x6f12482D9869303B998C54D91bCD8bCcba81f3bE,0xb68825C810E67D4e444ad5B9DeB55BA56A66e72D
2,91,bsc,radioshack,0x98957ab49b8bc9f7ddbCfD8BcC83728085ecb238,0x5bc3ED94919af03279c8613cB807ab667cE5De99
2,92,bsc,sushiswap,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506
2,93,bsc,openocean,-,-
2,94,bsc,dinosaureggs,0x73D9F93D53505cB8C4c7f952ae42450d9E859D10,0xE9C7650b97712C0Ec958FF270FBF4189fB99C071
2,95,bsc,sphynx,0x8BA1a4C24DE655136DEd68410e222cCA80d43444,0x0C8094a69e8e44404371676f07B2C32923B5699c
2,96,bsc,annexfinance,0x6100af6980d35FDb119BECE4969fF6b68DA6e4ea,0xBa67BA73774dA585664661d22775dB9761418dC5
2,97,bsc,waultfinance,-,-
2,98,bsc,moonlift,0x0dC614eCb00Fe2f6312cd1736e61a04969a4fe7B,0xe9cABbC746C03010020Fd093cD666e40823E0D87
2,99,bsc,niob,-,-
2,100,bsc,jetswap,0x0eb58E5c8aA63314ff5547289185cC4583DfCBD5,0xBe65b8f75B9F20f4C522e0067a3887FADa714800
2,101,bsc,aequinox,-,-
2,102,bsc,padswap,0xB836017ACf10b8A7c6c6C9e99eFE0f5B0250FC45,0x76437234D29f84D9A12820A137c6c6A719138C24
2,103,bsc,hyperjump,0xaC653cE27E04C6ac565FD87F18128aD33ca03Ba2,0x3bc677674df90A9e5D741f28f6CA303357D0E4Ec
2,104,bsc,cobraswap,-,-
2,105,bsc,pyeswap,0x51728504e7f4C45ce16daD18245c5843360B6C34,0xB8927674d6A7D2C44500d5635027DC8f77747C98
2,106,bsc,bridgesexchange,-,-
2,107,bsc,mochiswap,0x338D43c1D897B8e833fF22a8de732d161F069bF8,0x939ffC5a4f3e9DF85e1036A8C86b18599A403F3B
3,26,polygon,uniswap,-,-
3,27,polygon,mmfinance,0x7cFB780010e9C861e03bCbC7AC12E013137D47A5,0x51aba405de2b25e5506dea32a6697f450ceb1a17
3,28,polygon,quickswap,0x5757371414417b8C6CAad45bAeF941aBc7d3Ab32,0xa5E0829CaCEd8fFDD4De3c43696c57F7D7A678ff
3,29,polygon,sushiswap,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506
3,30,polygon,balancer,-,-
3,31,polygon,apeswap,0xCf083Be4164828f00cAE704EC15a36D711491284,0xC0788A3aD43d79aa53B09c2EaCc313A787d1d607
3,32,polygon,dfyn,0xE7Fb3e833eFE5F9c441105EB65Ef8b261266423B,0xA102072A4C07F06EC3B4900FDC4C7B80b6c57429
3,33,polygon,radioshack,0xB581D0A3b7Ea5cDc029260e989f768Ae167Ef39B,0xaf877420786516fc6692372c209e0056169eebaf
3,34,polygon,dystopia,0x1d21Db6cde1b18c7E47B0F7F42f4b3F68b9beeC9,0xbE75Dd16D029c6B32B7aD57A0FD9C1c20Dd2862e
3,35,polygon,vulcandex,-,-
3,36,polygon,jetswap,0x668ad0ed2622C62E24f0d5ab6B6Ac1b9D2cD4AC7,0x5C6EC38fb0e2609672BDf628B1fD605A523E5923
3,37,polygon,elkfinance,0xE3BD06c7ac7E1CeB17BdD2E5BA83E40D1515AF2a,0xf38a7A7Ac2D745E2204c13F824c00139DF831FFf
3,38,polygon,gravityfinance,0x3ed75AfF4094d2Aaa38FaFCa64EF1C152ec1Cf20,0x57dE98135e8287F163c59cA4fF45f1341b680248
3,39,polygon,polycat,0x477Ce834Ae6b7aB003cCe4BC4d8697763FF456FA,0x94930a328162957FF1dd48900aF67B5439336cBD
3,40,polygon,comethswap,0x800b052609c355ca8103e06f022aa30647ead60a,0x93bcDc45f7e62f89a8e901DC4A0E2c6C427D9F25
3,41,polygon,algebra,-,-
3,42,polygon,firebird,0x5de74546d3b86c8df7feec30253865e1149818c8,0xf6fa9ea1f64f1bbfa8d71f7f43faf6d45520bfac
3,43,polygon,waultfinance,0xa98ea6356A316b44Bf710D5f9b6b4eA0081409Ef,0x3a1D87f206D12415f5b0A33E786967680AAb4f6d
3,44,polygon,jamonswap,0x56CfC115e04dFCdA3ad47eAE1db86f70C1F8D8A5,0xdBe30E8742fBc44499EB31A19814429CECeFFaA0
3,45,polygon,tetuswap,0x684d8c187be836171a1Af8D533e4724893031828,0xBCA055F25c3670fE0b1463e8d470585Fe15Ca819
